"depth.layer"	"Time.foraging"	"state"	"param"
450	21745.1820610551	"rest"	"min"
450	24769.3464536522	"rest"	"max"
450	23257.2642573536	"rest"	"mean"
450	19622.5152577777	"preg"	"min"
450	22351.4743333627	"preg"	"max"
450	20986.9947955702	"preg"	"mean"
450	19622.5152577777	"lact"	"min"
450	22351.4743333627	"lact"	"max"
450	20986.9947955702	"lact"	"mean"
460	21498.8654193873	"rest"	"min"
460	24488.7738551961	"rest"	"max"
460	22993.8196372917	"rest"	"mean"
460	19400.2429380611	"preg"	"min"
460	22098.2899691822	"preg"	"max"
460	20749.2664536216	"preg"	"mean"
460	19400.2429380611	"lact"	"min"
460	22098.2899691822	"lact"	"max"
460	20749.2664536216	"lact"	"mean"
470	21258.0665360844	"rest"	"min"
470	24214.4863854736	"rest"	"max"
470	22736.276460779	"rest"	"mean"
470	19182.9497579718	"preg"	"min"
470	21850.777207756	"preg"	"max"
470	20516.8634828639	"preg"	"mean"
470	19182.9497579718	"lact"	"min"
470	21850.777207756	"lact"	"max"
470	20516.8634828639	"lact"	"mean"
480	21022.6020591819	"rest"	"min"
480	23946.2751932403	"rest"	"max"
480	22484.4386262111	"rest"	"mean"
480	18970.470263539	"preg"	"min"
480	21608.7475849583	"preg"	"max"
480	20289.6089242486	"preg"	"mean"
480	18970.470263539	"lact"	"min"
480	21608.7475849583	"lact"	"max"
480	20289.6089242486	"lact"	"mean"
490	20792.2966712956	"rest"	"min"
490	23683.9405792241	"rest"	"max"
490	22238.1186252598	"rest"	"mean"
490	18762.6462510722	"preg"	"min"
490	21372.0208952611	"preg"	"max"
490	20067.3335731667	"preg"	"mean"
490	18762.6462510722	"lact"	"min"
490	21372.0208952611	"lact"	"max"
490	20067.3335731667	"lact"	"mean"
500	20566.9826542907	"rest"	"min"
500	23427.2915002517	"rest"	"max"
500	21997.1370772712	"rest"	"mean"
500	18559.3263743264	"preg"	"min"
500	21140.4247442659	"preg"	"max"
500	19849.8755592961	"preg"	"mean"
500	18559.3263743264	"lact"	"min"
500	21140.4247442659	"lact"	"max"
500	19849.8755592961	"lact"	"mean"
510	20346.4994819534	"rest"	"min"
510	23176.1451052714	"rest"	"max"
510	21761.3222936124	"rest"	"mean"
510	18360.3657769341	"preg"	"min"
510	20913.7941300177	"preg"	"max"
510	19637.0799534759	"preg"	"mean"
510	18360.3657769341	"lact"	"min"
510	20913.7941300177	"lact"	"max"
510	19637.0799534759	"lact"	"mean"
520	20130.6934385831	"rest"	"min"
520	22930.3263009026	"rest"	"max"
520	21530.5098697428	"rest"	"mean"
520	18165.6257482296	"preg"	"min"
520	20691.9710509635	"preg"	"max"
520	19428.7983995966	"preg"	"mean"
520	18165.6257482296	"lact"	"min"
520	20691.9710509635	"lact"	"max"
520	19428.7983995966	"lact"	"mean"
530	19919.4172616033	"rest"	"min"
530	22689.6673443428	"rest"	"max"
530	21304.542302973	"rest"	"mean"
530	17974.9734007463	"preg"	"min"
530	20474.8041385984	"preg"	"max"
530	19224.8887696724	"preg"	"mean"
530	17974.9734007463	"lact"	"min"
530	20474.8041385984	"lact"	"max"
530	19224.8887696724	"lact"	"mean"
540	19712.5298064437	"rest"	"min"
540	22454.0074616444	"rest"	"max"
540	21083.268634044	"rest"	"mean"
540	17788.2813678117	"preg"	"min"
540	20262.148313004	"preg"	"max"
540	19025.2148404079	"preg"	"mean"
540	17788.2813678117	"lact"	"min"
540	20262.148313004	"lact"	"max"
540	19025.2148404079	"lact"	"mean"
550	19509.8957320914	"rest"	"min"
550	22223.1924895346	"rest"	"max"
550	20866.544110813	"rest"	"mean"
550	17605.4275197934	"preg"	"min"
550	20053.8644596322	"preg"	"max"
550	18829.6459897128	"preg"	"mean"
550	17605.4275197934	"lact"	"min"
550	20053.8644596322	"lact"	"max"
550	18829.6459897128	"lact"	"mean"
560	19311.3852058389	"rest"	"min"
560	21997.0745391013	"rest"	"max"
560	20654.2298724701	"rest"	"mean"
560	17426.2946976683	"preg"	"min"
560	19849.8191258209	"preg"	"max"
560	18638.0569117446	"preg"	"mean"
560	17426.2946976683	"lact"	"min"
560	19849.8191258209	"lact"	"max"
560	18638.0569117446	"lact"	"mean"
570	19116.8736258753	"rest"	"min"
570	21775.5116798049	"rest"	"max"
570	20446.1926528401	"rest"	"mean"
570	17250.7704626937	"preg"	"min"
570	19649.8842356511	"preg"	"max"
570	18450.3273491724	"preg"	"mean"
570	17250.7704626937	"lact"	"min"
570	19649.8842356511	"lact"	"max"
570	18450.3273491724	"lact"	"mean"
580	18926.2413604754	"rest"	"min"
580	21558.3676423958	"rest"	"max"
580	20242.3045014356	"rest"	"mean"
580	17078.7468610549	"preg"	"min"
580	19453.9368218639	"preg"	"max"
580	18266.3418414594	"preg"	"mean"
580	17078.7468610549	"lact"	"min"
580	19453.9368218639	"lact"	"max"
580	18266.3418414594	"lact"	"mean"
590	18739.3735026397	"rest"	"min"
590	21345.5115394306	"rest"	"max"
590	20042.4425210351	"rest"	"mean"
590	16910.1202024565	"preg"	"min"
590	19261.8587736591	"preg"	"max"
590	18085.9894880578	"preg"	"mean"
590	16910.1202024565	"lact"	"min"
590	19261.8587736591	"lact"	"max"
590	18085.9894880578	"lact"	"mean"
600	18556.1596391273	"rest"	"min"
600	21136.8176021847	"rest"	"max"
600	19846.488620656	"rest"	"mean"
600	16744.7908517013	"preg"	"min"
600	19073.5365992889	"preg"	"max"
600	17909.1637254951	"preg"	"mean"
600	16744.7908517013	"lact"	"min"
600	19073.5365992889	"lact"	"max"
600	17909.1637254951	"lact"	"mean"
610	18376.4936329066	"rest"	"min"
610	20932.1649328473	"rest"	"max"
610	19654.329282877	"rest"	"mean"
610	16582.663032377	"preg"	"min"
610	18888.8612024427	"preg"	"max"
610	17735.7621174098	"preg"	"mean"
610	16582.663032377	"lact"	"min"
610	18888.8612024427	"lact"	"max"
610	17735.7621174098	"lact"	"mean"
620	18200.2734181235	"rest"	"min"
620	20731.4372709751	"rest"	"max"
620	19465.8553445493	"rest"	"mean"
620	16423.6446418387	"preg"	"min"
620	18707.7276714984	"preg"	"max"
620	17565.6861566685	"preg"	"mean"
620	16423.6446418387	"lact"	"min"
620	18707.7276714984	"lact"	"max"
620	17565.6861566685	"lact"	"mean"
630	18027.4008067533	"rest"	"min"
630	20534.5227732554	"rest"	"max"
630	19280.9617900043	"rest"	"mean"
630	16267.6470767349	"preg"	"min"
630	18530.0350807841	"preg"	"max"
630	17398.8410787595	"preg"	"mean"
630	16267.6470767349	"lact"	"min"
630	18530.0350807841	"lact"	"max"
630	17398.8410787595	"lact"	"mean"
640	17857.7813061692	"rest"	"min"
640	20341.3138057027	"rest"	"max"
